no,ulasan,entity,GT,split
774,"
Mantab",Terminal Arjosari,D,Terminal Arjosari_D
775,"
Tempat luas dan nyaman ada tour guide nya",Terminal Arjosari,D,Terminal Arjosari_D
776,"
Pelayanan bagus n tertib",Terminal Arjosari,D,Terminal Arjosari_D
777,"
Ramai",Terminal Arjosari,D,Terminal Arjosari_D
779,"
Terminal Arjosari Malang. salah satu sarana transportasi dari & akan ke Malang. Fasilitas cukup lengkap akan tetapi utk toilet kurang dijaga kebersihannya",Terminal Arjosari,TD,Terminal Arjosari_TD
782,"
Yg jls calon penumpang 99%
Risih dan sangat terganggu
Dengan para org"" yg suka berebut penumpang untuk tawarkan armada mereka....salah satunya saya",Terminal Arjosari,TD,Terminal Arjosari_TD
783,"
Aman & bersih",Terminal Arjosari,D,Terminal Arjosari_D
786,"
Terminal Arjosari Malang 13.58, dari Blitar Jam 10.00",Terminal Arjosari,N,Terminal Arjosari_N
787,"
Bagus",Terminal Arjosari,D,Terminal Arjosari_D
788,"
Terminal Arjosari Malang adalah pindahan dari terminal Patimura yang letaknya dekat dengan stasiun kota baru Malang.",Terminal Arjosari,N,Terminal Arjosari_N
789,"
Kotor",Terminal Arjosari,TD,Terminal Arjosari_TD
790,"
Bagus, tp kamar mandi jorok",Terminal Arjosari,TD,Terminal Arjosari_TD
791,"
Cukup luas, dan fasilitas lumayan lengkap. Cuma untuk toilet fasilitas dari terminalnya kurang memadai.",Terminal Arjosari,TD,Terminal Arjosari_TD
793,"
Masih amburadul",Terminal Arjosari,TD,Terminal Arjosari_TD
794,"
Naik kereta api pasti nyaman dan melihat permandangan",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
796,"
Tempatnya nyaman, fasilitas bgs",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
797,"
Tempat luas, fasilitas komplit bisa langsung antigen di tempat dengan waktu yang tidak lama.",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
798,"
Stasiunnya oke.. Banyak gerai makanan tradisional... Apalagi kalo lahan parkirnya luas ðŸ˜ðŸ˜âœŒï¸âœŒï¸",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
799,"
Stasiun terbesar di malang raya. Menjadi penghubung malang dengan kota-kota di pulau jawa.",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
800,"
Wastafel nya hanya 1 yg bisa di gunain, jd makin bikin antri cuma buat cuci tangan.",Stasiun Malang Kotabaru,TD,Stasiun Malang Kotabaru_TD
802,"
Mau tanya nih...anak dibawah 12 thn apa sudah boleh naik kereta api?
Apa juga harus antigen kalau perjalanan lokal.
Terimakasih",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
803,"
Stasiun Malang",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
804,"
Salah satu stasiun terbesar dan teramai di Jawa Timur. Selain KA Jarak Dekat, banyak sekali perjalanan KA Jarak Jauh ke arah barat dari stasiun ini, baik melalui Blitar ataupun Surabaya.

Di sisi timur stasiun ini, baru saja dibangun gedung baru untuk mengurangi kepadatan di gedung lama.

Di kompleks stasiun ini, juga terdapat sejumlah kantor unit pendukung, seperti depo sarana dan UPT Crew",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
805,"
Stasiun malang kota sekarang ada 2 pintu masuk/keluar yaitu bagian barat (lama) & timur (baru)

Pintu timur
+ baru
+ bersih
+ luas
+ ada eskalator
+ banyak stand jual makanan
+ toilet bersih
- agak muterin stasiun dulu

Pintu barat
+ lokasi lebih strategis
- bangunan lama, kurang terawat, kurang bersih, sempit
- pakai tangga lewat bawah tanah",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
806,"
Keren stasiunnya n pelayanannya,dari petugas sampai poter ðŸ‘",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
807,"
Sudah ada perbaikan,tempatnya bersih",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
809,"
Kangen naik kereta Suraba-Malang-Surabaya",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
810,"
Stasiun aman n nyaman",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
811,"
Tempatnya bersih petugasnya gercep, ramah dan kesan stasiun modern. Keretanya bersih. Bisa antigen pula di stasiun dengan harga 45 rb.",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
812,"
Bagus bersih petugas ramah",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
813,"
Ada escalator naik dan turun, ada juga tangga untuk turun, pintu keluar ada bagian barat dan bagian timur",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
814,"
Tempatnya bersih, tempat tes antigen, kios oleh2 dan ngopi juga ada...tempat parkir lumayan luas",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
815,"
Stasiunnya baguss, bersih, nyaman. Sekarang ada eskalatornya ðŸ¤£ðŸ¤£ dulu masih tangga lewat terowongan. Cuma tempat parkirnya yg masih sempit",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
816,"
Bangunan stasiun Malang sekarang ada dua. Yang lama digunakan untuk Kereta api lokal dan bangunan baru untuk kereta api jarak jauh.",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
817,"
kota Malang merupakan kota yang sangat nyaman..",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
818,"
Megah",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
819,"
Stasiun dengan vibes bandara",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
820,"
Pesona malang terbaik",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
821,"
Updatenya makin bagus karena tempat baru aja di renovasi di bangunan yg baru",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
822,"
Eksotik dengan ragam budaya kota malang",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
824,"
Perbaikan yang semakin baik",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
825,"
Tempat yang baru terbuka dan lebih luas serta ruangtunggunya lebih banyak. Juga bisa rapid antigen di stasiun dengan jam buka 08.30-16.30",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
826,"
Gedung Stasiun Baru",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
827,"
Bersiiiih........top bngt",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
828,"
Setelah lebih 20 tahun, akhirnya menginjakkan kaki lagi ke stasiun yang menghadap alun-alun Tugu Malang ini. Makin cantik, indah, dan bersih",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
829,"
Stasiun Malang menurut saya bersih dan nyaman. Saat saya ke stasiunnya bulan Agustus ini, stasiun Malang relatif sepi.",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
830,"
Bagus",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
831,"
Ini sebelum pandemi, jadi bebas tanpa masker
Stasiun yang ramai naik turun penumpang, baik kereta lokal maupun kereta jarak jauh
Banyak penumpang, banyak toko-toko makanan dan oleh-oleh
Tempat yang luas dan banyak kursi-kursi tunggu, wc, tempat cas hp
Diluar stasiun banyak becak, dan banyak warung makan
Loket dan mesin cetak berada ditempat yang berbeda dengan tempat tunggu",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
833,"
Alamat sesuai lokasi dan mantap",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
834,"Stasiun Malang (ML), juga dikenal sebagaiÂ Stasiun Malang KotabaruÂ atauÂ Stasiun Kotabaru,[a]Â adalahÂ stasiun kereta apiÂ kelas besar tipe A yang terletak diÂ Kiduldalem, Klojen, Malang. Stasiun ini termasuk dalamÂ Daerah Operasi VIII SurabayaÂ dan merupakan stasiun kereta api utama diÂ Kota Malang. Letak stasiun ini tidak jauh dariÂ Alun-alun Bundar, kawasan SMA Tugu (SMA Negeri 1,Â SMA Negeri 3, danÂ SMA Negeri 4 Malang), Gedung DPRD Kota Malang, Balai Kota Malang, Pasar Klojen, dan Markas Satu -wikipedia",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
836,"
Gedung baru nya keren..",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
837,"
tempat yg bagus dan nyaman",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
838,"
Tempat transit ke segala jurusan
Tempatnya strategis dan mudah di jangkau dari segala jurusan untuk parkir inap semoga jadi perhatian pengelola untuk kenyamanan di berikan atap",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
840,"
Pintu masuk baru di Stasiun kotabaru...baju baru alhamdulillah",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
841,"
Stasiun dgn standard menuju stasiun modern",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
842,"
Historical station, semakin modern ,fasilitas lengkap.",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
844,"
Stasiun classic yg ada jalan underground dan new gate modern nya",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
845,"
Di Stasiun Malang yang baru mohon ada kebijakan bagi ojol untuk gratis parkir ya kali nganter penumpang keluar bayar 3000
ðŸ˜ŒðŸ˜ŒðŸ˜Œ",Stasiun Malang Kotabaru,TD,Stasiun Malang Kotabaru_TD
846,"
Stasiun bersih,rapi, nyaman",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
847,"
Pintunya agak bikin bingung kalau baru nyoba",Stasiun Malang Kotabaru,TD,Stasiun Malang Kotabaru_TD
849,"
Enak buat nongkrong.",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
851,"
Utk KA lokal apa pakai rapit test",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
852,"
Stasiun bersih,rapi ,d tengah kota malang",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
854,"
Selalu kangen ksini",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
856,"
Fasilitas standar dan lokasi yang Strategis",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
858,"
Bersih indah rapi dan teratur",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
860,"
Tempat bagus, pelayanan oke",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
861,"
Cuma tes GeNose",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
862,"
Stasiun di tengah kota Malang",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
863,"
Stasiun besar bagus dan lengkap",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
864,"
Bisa memilih makanan & jajanan, disamping Deket dengan wisata kuliner, ada juga pedagang kaki lima",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
865,"
Bersih dan nyaman",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
866,"
Tempat berkumpulnya atau meetpoint para tourguide gunung semeru dan pemberangkatan ke pasar tumpang",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
868,"
Tempatnya bersih",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
869,"
Bersih, lokasi strategis, pelayanan lengkap, pengecekan suhu tubuh",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
870,"
Apakah stasiun kota baru selain rapid antigen dan antibodi juga melayani tes rapid genose?",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
871,"
Pingin pergi dgn kereta api, tapi msh takut ngumpul byk orang....",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
873,"
Kunjungi",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
874,"
Stasiun Ikonik di kota malang, yang pembangunannya sangat masif, Sangat nyaman untuk penumpang Kereta Api, Namun masih perlu peningkatan di ketersediaan area parkir, dan penyesuaian Area transportasi umum supaya bisa menjadi lebih nyaman dan mencegah penumpukan penumpang keluar stasiun",Stasiun Malang Kotabaru,TD,Stasiun Malang Kotabaru_TD
875,"Stasiun Malang (ML), terkadang disebut Stasiun Malang Kotabaru

Merupakan stasiun kereta api kelas besar tipe A yang terletak di Kiduldalem, Klojen, Malang. Stasiun yang terletak pada ketinggian +444 meter ini termasuk dalam Daerah Operasi VIII Surabaya.

merupakan stasiun kereta api terbesar di Kota Malang. Stasiun ini memiliki sembilan jalur kereta api dengan jalur 3 merupakan sepur lurus, tetapi hanya jalur 1â€“5 yang digunakan untuk pelayanan naik turun penumpang.",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
876,"
Sip",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
877,"
Tolong untukrapid test antigen, pengurus nya diharap lebih praktis dan lebih simple untuk menginformasikan alur pendaftaran dan hasil test.
Pengurus yang menginformasikan hasil melalui mic/speaker , bukan cuma dipegang hasilnya menunggu peserta test menanyakan dan menimbulkan kerumunan. Tolong kepala KAI stasiun Malang lebih diperhatikan.",Stasiun Malang Kotabaru,TD,Stasiun Malang Kotabaru_TD
878,"
Dingin",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
879,"
Stasiun bersih",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
881,"
tempat asri dan nyaman",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
882,"
Indah indah d bangunan baru",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
884,"
Bangunan utama wajahnya masih asli..., samping2nya sudah baru...
Stasiun bagian timur sedang dibangun dengan wajah lebih modern...",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
885,"
Tempat yang selalu bikin kangen",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
886,"
Kira-kira seperti ini lah tampak depan Stasiun Malang dipagi hari",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
887,Stasiun kereta api menengah kota ini terletak di tengah kota. Ada toko makanan dan minuman di dalamnya. Orang lokal suka membeli ayam goreng. sebagai bekal makan di kereta Bisa perjalanan dari sini ke Surabaya. atau bisa ke yogya,Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
888,"Stasiun Malang Kotabaru memang masih kalah tua jika dibandingkan dengan Stasiun Malang Kotalama yang lebih dahulu berdiri. Namun, stasiun yang dibangun pada tahun 1940 itu memiliki sejarah yang tak kalah menariknya untuk dikuak. Siapa sangka, bangunan stasiun yang terletak di Jalan Trunojoyo, Kecamatan Klojen, Kota Malang, Jawa Timur itu dulunya tidak berada di lokasi seperti saat ini.

Mulai tahun 1879, warga Malang masih menggunakan Stasiun Kotalama yang berada di sebelah selatan, tepatnya di Jalan Kolonel Sugiono, Kelurahan Ciptomulyo, Kecamatan Sukun. Sementara bangunan Stasiun Kotabaru sendiri konon sudah berdiri sejak tahun 1887, namun berada di sebelah timur rel kereta.

Ada dua versi yang menyebutkan mengapa stasiun itu berada di sebelah timur rel. Versi pertama menyebutkan pada masa itu di timur rel terdapat tangsi militer, sehingga stasiun dibuat berhadapan langsung dengan lokasi tersebut. Ada pula yang menyebutkan bangunan Stasiun Kotabaru lama dibuat di sebelah timur rel agar penumpang yang turun bisa langsung menikmati indahnya pemandangan Gunung Panderman di sisi barat stasiun.

Perkembangan Malang sebagai calon kota terbesar kedua di Jawa Timur di era Kolonial Belanda memaksa pemerintah setempat membuat bangunan stasiun kereta api yang baru pada tahun 1940. Tujuannya agar bisa menampung penumpang lebih banyak lagi. Maka, stasiun kereta api yang tadinya di sebelah timur rel dipindah ke sebelah barat rel sehingga dapat langsung menghadap ke arah Lapangan JP Coen. Lapangan yang sekarang menjadi Alun-alun Tugu tersebut kala itu direncanakan sebagai pusat pemerintahan.

Pemindahan bangunan stasiun tersebut disetujui pemerintah pusat 10 tahun sebelumnya, tepatnya pada tahun 1930. Pemindahan bangunan ini juga untuk memudahkan akses menuju Jalan Kahuripan, Jalan Kayutangan, dan Jalan Semeru, yang kala itu dijadikan sebagai titik pusat lalu lintas Kota Malang. Bangunan yang lama akhirnya sekarang menjadi gudang peralatan perawatan kereta api.

Ir. Herman Thomas Karsten selaku Perencana Kota Malang pada saat itu memiliki rencana membuat tata letak stasiun kereta api seperti di kota-kota di Eropa, yakni letaknya berada di pusat kota. Dalam perkembangannya, pada tahun 1983 dibuat pula jalan kembar dari Alun-alun Tugu menuju stasiun, dengan taman kota berada di tengahnya. Tujuannya untuk membuat Stasiun Kotabaru terkesan monumental dan lebih sedap dipandang mata.

Bangunan stasiun Kotabaru ini dirancang oleh Landsgebouwendienst (Jawatan Gedung Negara). Arsitekturnya menggunakan gaya kolonial modern atau yang juga sering disebut sebagai Nieuwe Bouwen. Ciri-cirinya berwarna putih, volume bangunan yang berbentuk kubus, gevel horizontal, dan atap datar. Sementara untuk perancangan teknisnya dilakukan oleh Jawatan Kereta Api sendiri, yang berpatokan pada karya J. van der Eb. Pelaksanaannya dikerjakan oleh sebuah perusahaan biro pelaksana bangunan dan perancangan bernama Algemeen Ingenieurs en Architecten (AIA) yang tenar pada zaman itu.

Stasiun Kotabaru ini memiliki satu keistimewaan lain, yaitu menjadi satu-satunya stasiun kereta api yang memiliki lorong bawah tanah. Lorong tersebut menghubungkan antara peron satu dengan peron lainnya. Struktur dan sistem kontruksi terowongan tersebut juga dibuat dari beton yang tahan ledakan bom dan kedap gas beracun. Berdasarkan sejarah yang ada, liang raksasa itu dibuat untuk mengantisipsi serangan udara musuh, karena di masa itu sedang merebak isu tentang Perang Dunia II yang bakal mengusik kekuasaan Hindia-Belanda di bumi Nusantara. Rancangan konstruksi lorong ini sesuai dengan yang disarankan oleh pihak militer.

Lokasi Stasiun Kotabaru ini bisa dibilang sangat strategis. Stasiun ini terletak tak jauh dari kawasan pusat pemerintahan, gedung Balai Kota Malang, Alun-alun Tugu, Gedung DPRD, kompleks SMA Tugu (SMA Negeri 1, SMA Negeri 3, dan SMA Negeri 4 Malang), Pasar Klojen, dan Markas Kodam V Brawijaya. Baru-baru ini Taman Trunojoyo di seberang stasiun juga selesai direvitalisasi sehingga dilengkapi dengan air mancur dan fasilitas taman bermain untuk anak-anak. Terdapat pula pusat ku",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
889,"
Pelayanan tes Rapid nya baik dan cepat,ramah santuy.. Biaya Rp 85rb proses ga ribet,di ambil sampel darah di uji lab dan menunggu hasil sekitar 15 menit.. And done.",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
890,"
Banyak kenangan datang & berpisah ...",Stasiun Malang Kotabaru,N,Stasiun Malang Kotabaru_N
893,"
Stasiun bersejarah sepanjang masa. 2020 pembangunan stasiun kota baru dengan wajah baru dengan lahan parkir motor dan mobil semakin besar tepatnya di jl panglima sudirman gedung dibalik gedung lama . mantabbb",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
894,"
Bersih stasiunnya waktu liburan desember 2019,",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
895,"
Tempat kuliner aseek",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
896,"
Nice, rame modern jadwal padat",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
897,"
Ini stasiun kereta api terbesar yang pernah saya singgahi.",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
898,"
dulu teringat kalo antri tiket bisa sampai berjam-jam, setelah ada aplikasi kai access jadi sepi loh loket tiket kereta lokal. hehe",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
900,"
Naik kereta api tut.. tut.. tutt.. siapa hendak turuutt... ðŸŽµ edisi bolang nyenengin anak. Ada tempat bermain nya loh. Jadi sambil nunggu kedatangan kereta api; anak bermain ndak bosen. Juga ada titik spot foto nya yg kerennn sungguh instagramable. Bikin kamu tambah gayaa ðŸ˜ðŸ¤©ðŸ¥°",Stasiun Malang Kotabaru,D,Stasiun Malang Kotabaru_D
901,"
Nice adem",Vihara Vajra Earth Kertanegara,D,Vihara Vajra Earth Kertanegara_D
902,"
Siip",Vihara Vajra Earth Kertanegara,D,Vihara Vajra Earth Kertanegara_D
903,"
Tempat ibadah umat Budha.
Tempatnya bersih , lega, ramah dan nyaman. Dg patung Dewi Kwan Im yg menjulang tinggi indah dipandang.",Vihara Vajra Earth Kertanegara,D,Vihara Vajra Earth Kertanegara_D
904,"
Vihara Megah, yg dihiasi patung ukuran raksasa di tamannya.",Vihara Vajra Earth Kertanegara,D,Vihara Vajra Earth Kertanegara_D
905,"
Sangat bersih,dan asri lokasi pura, mudah dijangkau jika mau naik toll malang, merupakan pura tertua di kota malang. Silahkan berkunjung/tangkil dan bersembahyang disini",Pura Luhur Dwijawarsa,D,Pura Luhur Dwijawarsa_D
907,"
Pura Luhur Dwijawarsa Terletak di Gunung Buring, Lesanpura, Lesanpuro, Kecamatan Kedungkandang, Malang, Jawa Timur. Di area Pura tidak terdapat mesin ATM, Parkir khusus Sepeda Motor dan Mobil, Di area bawah pura terdapat Pasraman STAH Santika Dharma (biasanya kalau sebelum pandemi Pasraman ramai anak2 sekolah minggu di sana), untuk hari raya besar (galungan, kuningan, pagerwesi, dsb) cocok untuk rekomendasi tempat sembahyang, kalau ingin sembahyang saran saya pagi atau siang biasanya pemangkunya ada, kalau malam biasanya sepi hanya hari raya purnama, tilem, dsb baru ramai biasanya, Dan bila ingin memesan canang sari/sesajen yang lainnya, bisa menghubungi kontak Bu Jro : 087 859 345 729 dan biasanya Bu Jro setiap hari minggu jualan di pura (canang sari, tipat cantok, nasi jinggo, canang sari, kue lupis, snack)",Pura Luhur Dwijawarsa,N,Pura Luhur Dwijawarsa_N
908,"
Nuangsa alam bagus",Pura Luhur Dwijawarsa,D,Pura Luhur Dwijawarsa_D
909,"
Pura Luhur Dwijawarsa Buring terletak di tengah hutan sehingga jauh dari keramaian kota. Hal ini membuat hati lebih tenang. Puranya megah dan luas sehingga cukup banyak mahasiswa yang bersembahyang disini. Pada saat hari raya, biasanya ada pemangku/romo yang akan memimpin kegiatan persembahyangan",Pura Luhur Dwijawarsa,D,Pura Luhur Dwijawarsa_D
910,"
Bagus,tapi jalanya agak sempit",Pura Luhur Dwijawarsa,D,Pura Luhur Dwijawarsa_D
911,"
Sangat mengasyikkan",Pura Luhur Dwijawarsa,D,Pura Luhur Dwijawarsa_D
912,"
Pura Luhur Dwijawarsa sudah sangat megah dan nyaman serta dilengkapi sarana prasarana yang lengkap dan bersih. Pengempon Pura juga sangat ramah... Astungkara dapat bersembahyang di Pura Luhur Dwijawarsa, Buring, Malang...",Pura Luhur Dwijawarsa,D,Pura Luhur Dwijawarsa_D
913,"
Tempat ibadah yang asri",Pura Luhur Dwijawarsa,D,Pura Luhur Dwijawarsa_D
915,"
Jalan masuk agak diperlebar...kalau berpapasan mobil aman",Pura Luhur Dwijawarsa,TD,Pura Luhur Dwijawarsa_TD
916,"
Rahayu",Pura Luhur Dwijawarsa,N,Pura Luhur Dwijawarsa_N
917,"
tempat ini sangat sejuk dan tenang",Pura Luhur Dwijawarsa,D,Pura Luhur Dwijawarsa_D
918,"
teringat masa kuliah... dulu masih sepi...semoga selalu terjaga.",Pura Luhur Dwijawarsa,D,Pura Luhur Dwijawarsa_D
919,"
Sangat nyaman untuk sembayang dan sangat rekomended",Pura Luhur Dwijawarsa,D,Pura Luhur Dwijawarsa_D
920,"
Hanya lewat..",Pura Luhur Dwijawarsa,N,Pura Luhur Dwijawarsa_N
921,"
Tempat sangat cocok untuk sembahyang, meditasi juga
Soalnya jauh dari pemukiman, dan jalan raya utama
Akses jalan bagus, hanya lumayan jauh
Bersih, asri, berasa kayak dibali ðŸ˜Š",Pura Luhur Dwijawarsa,D,Pura Luhur Dwijawarsa_D
922,"
Jalan nya sudah semakin bagus beraspal sampai pura dan bangunan pura nya terus berbenah lebih baik , semoga menjadi tempat yang luhur untuk umat Hindu semalang raya",Pura Luhur Dwijawarsa,D,Pura Luhur Dwijawarsa_D
924,"
Tempat ibadah",Pura Luhur Dwijawarsa,N,Pura Luhur Dwijawarsa_N
925,"
Kalau main ke malang. Sempatnkan kesini utk sembahyang. Asri dan menenangkan.",Pura Luhur Dwijawarsa,D,Pura Luhur Dwijawarsa_D
926,"
Menyenangkan",Pura Luhur Dwijawarsa,D,Pura Luhur Dwijawarsa_D
927,"
Kalo ada yg membutuhkan dupa lengkap didalam klenteng ada toko yg menjual dupa",Klenteng Eng An Kiong,D,Klenteng Eng An Kiong_D
928,"
Klenteng legend",Klenteng Eng An Kiong,N,Klenteng Eng An Kiong_N
929,"
Tempat ibadah",Klenteng Eng An Kiong,N,Klenteng Eng An Kiong_N
930,"
Bersih harum nyaman untuk ibadah",Klenteng Eng An Kiong,D,Klenteng Eng An Kiong_D
931,"
Datang untuk melihat melihat dan kuliner. Tempatnya adem",Klenteng Eng An Kiong,D,Klenteng Eng An Kiong_D
932,"
Saya bisa belajar barongsai ðŸ‘ðŸ‘ðŸ‘",Klenteng Eng An Kiong,D,Klenteng Eng An Kiong_D
933,"
Kantin nya boleh buat wisata kuliner. Ada rujak, cwi mie, gorengan, bakwan, dan b2. Rata2 bisa dibilang recommended",Klenteng Eng An Kiong,D,Klenteng Eng An Kiong_D
934,"
Mantab sungguh ðŸ‘",Klenteng Eng An Kiong,D,Klenteng Eng An Kiong_D
935,"
Tempatnya besar,bersih,ada 24 dewa kwan yin,kwan kong,tua pek kong,dll.di basemennta ad jajanan rujak halal ,kolak halal,mie pansit,sate babi,gohyang babi",Klenteng Eng An Kiong,D,Klenteng Eng An Kiong_D
936,"
Klenteng legend di Malang.",Klenteng Eng An Kiong,N,Klenteng Eng An Kiong_N
937,"
Klenteng terbesar di Malang, sering mengadakan acara kesenian ðŸ‘",Klenteng Eng An Kiong,N,Klenteng Eng An Kiong_N
939,"
Bersih...tenang..dan damai",Klenteng Eng An Kiong,D,Klenteng Eng An Kiong_D
940,"
D parkiran basement nya ada foodcourt nya dan Mknannya enak2 ada yg non hala juga",Klenteng Eng An Kiong,D,Klenteng Eng An Kiong_D
943,"
silahkan kunjungi wisata religi",Klenteng Eng An Kiong,N,Klenteng Eng An Kiong_N
944,"
Bersejarah, heritage",Klenteng Eng An Kiong,N,Klenteng Eng An Kiong_N
945,"
Cwi mi, rujak, kolak, sate babi is the best!!",Klenteng Eng An Kiong,D,Klenteng Eng An Kiong_D
947,"
bagus banget dan terbuka",Klenteng Eng An Kiong,D,Klenteng Eng An Kiong_D
948,"
Tempa ibadah tridharma",Klenteng Eng An Kiong,N,Klenteng Eng An Kiong_N
949,"
Namanya aslinya ribet, biasa disebut KLENTENG",Klenteng Eng An Kiong,N,Klenteng Eng An Kiong_N
950,"
Peaceful place, sarat sejarah",Klenteng Eng An Kiong,D,Klenteng Eng An Kiong_D
951,"
Besar nyaman",Klenteng Eng An Kiong,D,Klenteng Eng An Kiong_D
954,"
Gereja tua yang ada di jalan ijen kota malang",Gereja Cathedral Ijen,N,Gereja Cathedral Ijen_N
955,"
tempat peribadatan untuk umat agama kristen katolik yang iconic dan terawat dengan baik yang merupakan tempat sejarah pula karena peninggalan jaman penjajahan belanda",Gereja Cathedral Ijen,D,Gereja Cathedral Ijen_D
956,"
bagus gereja nya, protokol kesehatan terbaik",Gereja Cathedral Ijen,D,Gereja Cathedral Ijen_D
957,"
Gereja umat katolik di kota malang",Gereja Cathedral Ijen,N,Gereja Cathedral Ijen_N
958,"
Gereja tertua di pusat kota Malang",Gereja Cathedral Ijen,N,Gereja Cathedral Ijen_N
959,"
Gereja Katedral Keuskupan Malang",Gereja Cathedral Ijen,N,Gereja Cathedral Ijen_N
