no,ulasan,entity,GT
431,"
terletak di tengah kota, banyak pohon2 besar bikin suasanya jadi syahdu.... top bgt deh",Rumah Sakit Lavalette,D
432,"
RS yang asri , banyak lingkungan terbuka hijau , sangat baik untuk recovery pasien . Semoga Semakin baik melayani . Trimakasih RS Lavalette ðŸ‘",Rumah Sakit Lavalette,D
433,"
Semoga RS Lavalette tetap mengutamakan dalam pelayanan",Rumah Sakit Lavalette,D
434,"
Pelayanan memuaskan.. Mantaap",Rumah Sakit Lavalette,D
435,"
Suasana yang asri bikin pasien cepet sembuh..... tengkiu RS Lavalette, Semakin Sukses & semakin maju",Rumah Sakit Lavalette,D
436,"
RS nya asri dan nyaman...dokternya bagus dan perawat nya tanggap....",Rumah Sakit Lavalette,D
437,"
Green hospital..bikin adem",Rumah Sakit Lavalette,D
438,"
Pelayanannya sangat bagus, tempat nya asri
The best hospital in Malang",Rumah Sakit Lavalette,D
439,"
Pelayanannya profesional ðŸ‘",Rumah Sakit Lavalette,D
440,"
Area RS cukup bersih dan asri, pelayanan petugas ramah dan para dokter cukup kompeten.",Rumah Sakit Lavalette,D
441,"
Layanan yang lengkap dan profesional, Sukses terus untuk civitas hospitalia RS. Lavalette malang",Rumah Sakit Lavalette,D
442,"
Pilihan utama",Rumah Sakit Lavalette,N
443,"
RS tengah kota yg asri, nyaman ... bikin adem di hati",Rumah Sakit Lavalette,D
444,"
Rumah sakit yg ramah pelayanan sangat baik",Rumah Sakit Lavalette,D
445,"
Insyaallah selalu memberikan pelayanan yg terbaik guna membuat customer puas â˜ºï¸",Rumah Sakit Lavalette,D
446,"
Jaya selalu Rumah Sakit Lavalette pelayanannya sangat bagus",Rumah Sakit Lavalette,D
447,"
Saya merasa sangat puas dengan pelayanan di rumah sakit lavalette. ðŸ‘ðŸ‘ðŸ‘",Rumah Sakit Lavalette,D
448,"
Fasilitas lengkap",Rumah Sakit Lavalette,D
449,"
Pelayanannya memuaskan. Terimakasih RS lavalette.",Rumah Sakit Lavalette,D
450,"
RS Lavalette nyaman, asri
Akreditasi Paripurna",Rumah Sakit Lavalette,D
451,"
Udara sejuk dan sehat, taman nya luas dan asri ðŸ¥°ðŸ¥°ðŸ¥°ðŸ¥°..... Bener bener syahdu ðŸ˜",Rumah Sakit Lavalette,D
452,"
Pelayanannya superrr..perawatnya ramah2..Bnr2 rumah sakit pilihan.. the best pokoknya ðŸ‘ðŸ‘",Rumah Sakit Lavalette,D
453,"
Pelayanannya cepat dan perawatnya ramah",Rumah Sakit Lavalette,D
454,"
Pelayanan bagus.,masi tetep,
mempertahankan taman yg luas...yg di beberapa tempat lain...jarang ditemui..semoga semakin sukses kedepan nya",Rumah Sakit Lavalette,D
455,"
Rumah BUMN IHC dengan fasilitas lengkap dan dokter yang berpengalaman. Di jamin nyaman.",Rumah Sakit Lavalette,D
456,"
Kereeen",Rumah Sakit Lavalette,D
457,"
RS nya Asri dan nyaman",Rumah Sakit Lavalette,D
458,"
Jenis layanannya lengkap dan dokter spesialis nya jga banyak...",Rumah Sakit Lavalette,D
459,"
rumah sakit swasta di malang",Rumah Sakit Lavalette,N
460,"
Nyaman, dekat rumah",Rumah Sakit Lavalette,D
461,"
Bersih, Rindang dan Sejuk",Rumah Sakit Lavalette,D
462,"
tempatnya bersih",Rumah Sakit Lavalette,D
463,"
Suasana okay. Tapi banyak hantuuu",Rumah Sakit Lavalette,D
464,"
Bersih... Edukasi Cukup jelas dan dimengerti",Rumah Sakit Lavalette,D
465,"
Kak... Untuk PCR hasilnya satu harikah?! Mau test pcr yg one day service soalnya...

(Sempet ragu buat PCR disini gara2 liat review, eh pas td pagi dtg ternyata ramah2 dong. Mulai ambil nomer antrian, daftar, bayar, pegawai lab. Semuanya ramah dan baik)

Terima Kasih. â˜ºï¸",Rumah Sakit Lavalette,D
466,"
Gate Exit - Kita cuma jemput pasien, mobil lewat aja gak pake berhenti parkir, pas di gate keluar di mintai uang 2 ribu, gak ada karcis nya .... hadeehhh ... Lumayan sedikit retribusi bisa buat ngopi ya ....",Rumah Sakit Lavalette,TD
467,"
Pelayanan tidak ramah",Rumah Sakit Lavalette,TD
468,"
Seperti review-review yang sudah-sudah, Administrasinya buruk banget.

Mau tes PCR dan antigen sekeluarga, datang jam 8, baru dites jam 10.30.

Alurnya tidak jelas, sudah pakai komputer tapi input data masih manual dari daftar, bayar, sampai selesai.

Pelayanan sangat lambat dan bertele-tele. Petugas juga tidak ramah.

Satu bintang = benar-benar pelayanan yang buruk",Rumah Sakit Lavalette,TD
469,"
Mohon diperhatikan dan dibedakan yg sakit sma rada sehat.. Utamakan yg sehat diperiksa terlebih dahulu.. Kecewa berat.. Segera perbaiki pelayanan,",Rumah Sakit Lavalette,TD
470,"
Dokternya perhatian, petugas ramah. Fasilitas lengkap. Ruangan bersih. Saran parkir agar diperluas.. Demikian juga ruang tunggu poli spesialis nya",Rumah Sakit Lavalette,D
471,"
Njenguk mbah kakung sakit disini. Byk pohon rindang, suasana seger. Masjidnya apikðŸ‘",Rumah Sakit Lavalette,D
472,"
Strategis",Rumah Sakit Lavalette,D
473,"
Saya ingin meminta bantuan. Kemarin barang saya tertinggal di masjid As-Syifa. Apakah saya bisa meminta kontak takmir masjid? Atau mungkin pihak Rumah Sakit melalui divisi keamanan bisa membantu untuk menemukannya. Barang tersebut berupa tote bag warna merah bertuliskan ""Poer"" yang berisi dokumen penting beserta charger hp.",Rumah Sakit Lavalette,N
474,"
Fasilitasnya lengkap bersih dan pelayanan baik",Rumah Sakit Lavalette,D
475,"
Main ke lavalette ada perlu dg orang SDM",Rumah Sakit Lavalette,N
476,"
lavalette adalah rumah sakit dengan pelayanan yang sangat memuaskan serta memiliki tingkat kedisiplinan tinggi antara pegawai. dokter yang ramah kepada pasien serta pelayanan yang profesional. lavalette adalah rumah ke2 bagi saya semenjak 2 tahun yang lalu. setiap 2 minggu sekali saya kontrol kesana. rs lavalette memiliki pelayanan yang bagus. dari satpam,rekam medis, perawat, dokter, hingga apotekernya yang ramah dan bersahabat.",Rumah Sakit Lavalette,D
477,"
baguss pelayananya",Rumah Sakit Lavalette,D
478,"
administrasi ruwet, rawat inap nunggu kamarnya lama",Rumah Sakit Lavalette,TD
479,"
Pelayanan nya bagus sekali, pegawainya ramah dan baik sekali ðŸ‘ðŸ‘ðŸ‘",Rumah Sakit Lavalette,D
480,"
saya kecewa.. ibuk saya belum begitu sehat.. belum layaknya pulang sudah di suruh pulang",Rumah Sakit Lavalette,TD
481,"
Mohon izin menyampaikan keluhan terkait respon pendaftaran online yg tidak responsif, Selasa 4 Mei 2021 kami daftar via wa pukul 07.00 tepat ketika baru buka antrian namun dibalas pkl.08.14 dan sudah tidak mendapat kuota daftar online, padahal selama ini daftar online berjalan lancar dan direspon tdk sampai 60 menit... Mohon untuk menambah kuota daftar online BPJS poli onkologi khususnya dr Wisnubroto agar semakin banyak pasien yg mendapat kemudahan layanan pendaftaran online.... Mohon maaf dan terimakasih",Rumah Sakit Lavalette,TD
482,"
Dokter, perawat, dan semuanya sangat ramah, menjelaskan kronologi penyakit dan tindakan yang harus dilakukan dengan jelas dan sabar, namun bagian resepsionis sedikit jutek",Rumah Sakit Lavalette,TD
483,"
Kecewa sih hari ini.. prosedur pengambilan no antrian pagi jam 6, dpt no antrian no 2 untuk sore hari,Sy terlambat ditaruh dan ditaruh di antrian paling belakang.. jdnya antrian sore berdasarkan yang datang ...",Rumah Sakit Lavalette,TD
484,"
Mau medical checkup di lavalette, nanya di nomer WA, ga ada yang balas ke nomer belakang yg 0405. Ke nomer pemasaran juga ga balas sama sekali. Mgkn ada yg tau, apakah harga paket medical check up yang ada di website masih berlaku hingga sekarang ?",Rumah Sakit Lavalette,N
485,"
Pelayanan sangat baik, fasilitas lengkap,pemeriksaan lengkap,petugas yang ramah,,
Sangat mematuhi protokol kesehatan",Rumah Sakit Lavalette,D
486,"
Playanan adm HD dan team medisx TOP.. smoga sllu memberikan playanan yg terbaik",Rumah Sakit Lavalette,D
487,"
pelayanan administrasi mbak-mbak di depan parah, ngga ada ramah2nya sama sekali.",Rumah Sakit Lavalette,TD
488,"
Safari subuh 27 (21/01/2021)
Masjid dg protokoler covid.maklum di area rumah sakit.
Pas bagi musafir dg posisi di pinggir jalan dan tidak terlalu masuk ke rumah sakit",Rumah Sakit Lavalette,D
489,"
Mungkin kendaraan keluar masuk lokasi rumah sakit utk lebih diperhatikan lagi , khususnya bagian keamanan, agar tidak ada saling nyolot antar pengendara. Saya sering sekali lewat sini banyak pengendara yg nekat nyerobot dan ada yg saling ngomel, pdhl pengunjung/pasien mau masuk area parkir rumah sakit rada kesulitan karena padatnya kendaraan. Semoga lebih baik lagi dan pengendara lain utk bisa saling menghargai.",Rumah Sakit Lavalette,TD
490,"
Fasilitas cukup lengkap tapi yang membuat kecewa adalah pelayanan petugas kesehatan tidak menunjukkan tata Krama yang baik alias gak ada unggah ungguhnya ngomong sama orang ataupun informasi yang diberikan, not recommended ðŸ‘Ž masih banyak rumah sakit bagus di Malang yang pelayanannya baik",Rumah Sakit Lavalette,TD
491,"
Pelayanan bagus kamar bagus (di r. platinum) , petugas ramah",Rumah Sakit Lavalette,D
492,"
Pelayanan nya bagus, dan cepat tanggap, dokter, suster/perawat, kepala ruangan semuanya rama dan baik",Rumah Sakit Lavalette,D
493,"
Rumah sakit legend",Rumah Sakit Lavalette,N
494,"
Banyak miskomunikasi antar divisi, tidak ada informasi yang jelas untuk pasien, terutama dari sisi administrasi. pasien diputar2 selama berjam2 hingga membuat waktu menjadi tidak produktif dan efektif",Rumah Sakit Lavalette,TD
495,"
Sungguh kecewa dengan pelayanan petugas pendaftaran rs lavalette",Rumah Sakit Lavalette,TD
496,"
Baru kali ini kecewa sama lavallet, pelayanan mau ke IGD kurang enak, pdhl di IGD A banyak kasur yang kosong tapi bilangnya IGD lagi penuh, disuruh ke IGD B yang sudah penuh",Rumah Sakit Lavalette,TD
497,"
Rumah Sakit Yang Bersih, Penanganya Cepat Dan Ruangan-nya yang Tertata Rapi.",Rumah Sakit Lavalette,D
498,"
Rumah sakit tertua di Kota Malang yang saat ini sudah dilakukan renovasi disesuaikan dengan standar rumah sakit modern.
Terletak di tengah kota sehingga mudah diakses dari segala arah. Terdapat beberapa jenis angkutan baik yang umum maupun privasi.
Pelayanan yang ramah dan dokter spesialis yang kompeten.
Lahan parkirnya yang terbatas sehingga parkiran sering meluber keluar....",Rumah Sakit Lavalette,D
499,"
Aman dan Nyaman",Rumah Sakit Lavalette,D
500,"
Bagus",Rumah Sakit Lavalette,D
501,"
Good service tanpa ada pembedaan pelayanan antara BPJS atau swasta. Good looking RS nya adem nyaman karena banyak taman",Rumah Sakit Lavalette,D
502,"
Mutu pelayanan prima..smoga bisa menambah gedung baru lagi.",Rumah Sakit Lavalette,D
503,"
Rumah sakit yg keren",Rumah Sakit Lavalette,D
504,"
RS jahara, mencari keuntungan disaat pandemi. Pasien di jadiin alat doang untuk mencari pemasukan.",Rumah Sakit Lavalette,TD
505,"
Pelayanan yang sangat lamban di bagian administrasi. Pasien yang ingin mendaftar dibiarkan menunggu begitu saja tanpa penjelasan. Para staff harusnya dapat bekerja dengan lebih cepat, efisien, dan profesional.",Rumah Sakit Lavalette,TD
506,"
Satpam disini tidak sopan dalam menanyakan dan membuat tidak nyaman,padahal saya jauh2 dr jogja ke malang hanya untuk menemani bapak saya di rs sini,saya sudah seminggu disini dan saya keluar dr rumah sakit hanya untuk membeli makan/minuman saja dan setiap saya kembali ke rs selalu ditanya oleh satpam apa tujuannya kesini (dengan nada tidak mengenakan)padahal saya sering bertemu dengan satpam tersebut dan dia bertanya seperti itu setiap saya kembali,padahal orang yg sama seperti saya tidak pernah di tanyai seperti itu",Rumah Sakit Lavalette,TD
507,"
Dokternya lamaaaaaa bangetttttttt",Rumah Sakit Lavalette,TD
508,"
Menyulitkan pasien",Rumah Sakit Lavalette,TD
509,"
Dokternya bagus2",Rumah Sakit Lavalette,D
510,"
Untuk rapid test. Kena biaya berapa ya",Rumah Sakit Lavalette,N
511,"
Utk fasilitas, pelayanan dan suasana bagus....sayangnya tukang parkir di pintu keluar nyebelin, kita yg bukan taxi online cuma ngedrop dan njemput pasien fisiotherapy selalu dimintai 2 ribu - 4 ribu sekali lewat ato gegeran dulu.
Kita fisiotherapy 3x tiap pekan tinggal hitung aja....mohon pihak lavalette menertibkan tukang2 parkirnya.",Rumah Sakit Lavalette,TD
512,"
Pelayanan yang ramah",Rumah Sakit Lavalette,D
513,"
Pelayanan di IGD terlalu ngegassss gak ada sabar2 nya sama sekali terutama pembantu dokternya, seharusnya bicara lebih sopan, meskipun indonesia lagi terserang covid, setidaknya menyuruh dan berbicara dengan sopan, tidak membentak2 kayak majikan ke pembantunya, salah dua dokter IGD tidak bisa memberikan saran yang memuaskan, terlalu diambil enteng keadaan, pelayanan lama sekali, terlalu ribet prosedurnya padahal dulu tidak dan saya pasien lama di lavallate, dulu cepat tanggap, sopan, sabar, memuaskan, sekarang bikin kesel jengkel, yang awalnya sakit ringan jadi parah total karena penanganan yang super lama sekali, untuk suster mantri injeksinya baik, bikin makin jengkel ðŸ˜¡ðŸ˜¡ðŸ˜¡ jadi males banget berobat ke lavallate ðŸ˜¡ðŸ˜¡ðŸ˜¡",Rumah Sakit Lavalette,TD
514,"
Apakah pelayanan untuk rapid rest 24jam??",Rumah Sakit Lavalette,N
515,"
Cepat dlm penanganan darurat ....",Rumah Sakit Lavalette,D
516,"
Pelayanan antrian bikin kesel orang antri dari pagi eh malah yg dateng telat di panggil duluan hampir 4 jam antri",Rumah Sakit Lavalette,TD
517,"
Dari segi pelayanan bintang 2, orang sekarat suruh nunggu
Dari segi perawatan bintang 1, semua orang juga bisa cuma cek ini cek itu dan menebak-nebak penyakit (diagnosa yg pasti dong) dasar dokter lulusan ctrl C ctrl V
Orang sakit bulannya diam malah ramai urusin mabar Mobile Legend, the best dah para dokter disini",Rumah Sakit Lavalette,TD
518,"
Apotiknya lambat.....
Mungkin perlu tambahan karyawan apoteker

Pelayanannya bagus walau pakai bpjs",Rumah Sakit Lavalette,TD
519,"
Saya heran terkadang ambil nomer antrian gratis. Namun terkadang diminta membayar 10 ribu hanya untuk mendapatkan nomer antrian. Yang benar yang mana ya?",Rumah Sakit Lavalette,TD
520,"
Responsif!",Rumah Sakit Lavalette,D
521,"
Pelayanan sangat lamaa, di poli dokter mata.",Rumah Sakit Lavalette,TD
522,"
Dari semua aspek not recommended deh",Rumah Sakit Lavalette,TD
523,"Ya Allah, Rabb manusia, hilangkanlah kesusahan dan berilah dia kesembuhan, Engkau Zat Yang Maha Menyembuhkan. Tidak ada kesembuhan kecuali kesembuhan dari-Mu, kesembuhan yang tidak meninggalkan penyakit lain... Aamiin ya Allah",Rumah Sakit Lavalette,N
524,"
Tingkatkan terus pelayanannya ðŸ‘",Rumah Sakit Lavalette,D
525,"
Pilihan alternatif rumah sakit di malang",Rumah Sakit Lavalette,D
526,"
Antri ke dokter spesialisnya lamaaaaaaa",Rumah Sakit Lavalette,TD
527,"
Terbaik",Rumah Sakit Lavalette,D
528,"
Semua harus punya uang supaya bisa berobat ðŸ˜‚ðŸ˜‚ðŸ˜‚ orang miskin dilarang sakitðŸ˜‚ðŸ˜‚ðŸ˜‚",Rumah Sakit Lavalette,N
529,"
Pelayanannya enak ramah cepat dan juga tempatnya nyaman",Rumah Sakit Lavalette,D
530,"
Nunggu di igd lama, tidak segera ditangani. antrian obat bpjs luar biasa banyaknya.",Rumah Sakit Lavalette,TD
531,"
Pelayanan kurang memyenangkan di poli tht",Rumah Sakit Lavalette,TD
532,"
pelayanan jelek",Rumah Sakit Lavalette,TD
533,"
RS type B, bersih, tenang n ramah, cekstan petugasnya",Rumah Sakit Lavalette,D
534,"
Semalam berobat ke IGD karna demam, Terima kasih dr dan perawat IGD karena sangat Gercep, tanggap dan memberikan pengobatan terbaik.
Di bagian pendaftaran jg ramah dan sangat membantu terkait informasi penjaminan BPJS.",RSUD Kota Malang,D
535,"
Sudah baik pelayanannya, tapi ada satu alat di poli gigi anak yang tidak kunjung diperbaiki sdh setahun lebih rusak katanya, ketika anak saya periksa kesana jadi rujukannya hangus.",RSUD Kota Malang,TD
536,"
Rsud sudah semakin berkembang, nomor antriannya juga sudah otomatis dan membuat pelayanan lebih cepat dan tertata.",RSUD Kota Malang,D
537,"
Pelayanan satpamnya buruk!!!",RSUD Kota Malang,TD
538,"
Pelayanannya baik, tenaga kesehatannya ramah2",RSUD Kota Malang,D
539,"
Perawat dan dokternya ramah dan Biayanya terjangkau",RSUD Kota Malang,D
540,"
Terima kasih kepada Allah melalui Tim Dokter Anak dan Tim ICU RSUD kota malang sekarang anak saya sdh sehat kembali stelah kemarin selama 2 minggu di ICU, semoga Allah membalas dengan balasan yang baik, matur nuwun sanget Tim Dokter anak dan Tim ICU RSUD kota malang ðŸ™ðŸ™ðŸ™",RSUD Kota Malang,D
541,"
Rumah sakit yang begitu luar biasa dalam memberikan pelayanan dan perawatan bagi pasien positif covid19. Tenaga kesehatannya bekerja tanpa pamrih",RSUD Kota Malang,D
542,"
Mohon disediakan mushalla untuk pasien/keluarga",RSUD Kota Malang,TD
543,"
Pelayanan bagus dan tempatnya nyaman",RSUD Kota Malang,D
544,"
Pelayanan yang ramah, kantinnya bersih, dan tempat parkir yang luas. ðŸ‘",RSUD Kota Malang,D
545,"
Pelayanan mudah dan parkir yang sangat luas. ðŸ‘",RSUD Kota Malang,D
546,"
Pelayanannya baik, petugasnya ramah dan baik hati. Tempatnya juga bersih dan nyaman. Terimakasih atas pelayanannyaðŸ™",RSUD Kota Malang,D
547,"
Alhamdulillah pelayanan yg baik petugas kesehatan sangat sabar dan ramah semoga semakin lebih baik",RSUD Kota Malang,D
548,"
Sejauh ini bagus, dibandingkan RS lain yg se-tipe. Cuma mungkin bbrp bagian yg perlu diperbaiki dan ditingkatkan.
Berharap kedepannya ada mesin EDC di bagian kasir, ato mesin ATM di lingkungan RSUD, mengingat tdk semua keluarga pasien membawa uang tunai yg mencukupi dan lumayan jauh jika harus keluar ke ATM terdekat.",RSUD Kota Malang,D
549,"
Dekat dengan rumah dan tempatnya nyaman. Mungkin bisa ditambah mesin ATM biar lebih mudah",RSUD Kota Malang,D
550,"
Pelayanan Vaksinasi nya ramah",RSUD Kota Malang,D
551,"
Pelayanan vaksinasi yang baik, petugas ramah dan cepat.",RSUD Kota Malang,D
552,"
Di poli penyakit dalam, dokternya baik, ramah, dan sabar dalam memberi penjelasan ke pasien.",RSUD Kota Malang,D
553,"
Perawatnya ramah ramah ðŸ˜ðŸ˜ðŸ˜ðŸ˜",RSUD Kota Malang,D
554,"
Pelayanan cukup bagus,fasilitas juga tersedia,dari satpam sampai poli...memang butuh kesabaran untuk mengantri karna pasien gk cuma 1 dan pasti ada hal yg perlu dijelaskan ke kita sebagai pasien jika ada hambatan/permasalahan dengan persyaratan yg diperlukan yg memakan waktu..",RSUD Kota Malang,D
555,"
dokter gigi anak sangat baik dan ramah, pelayanan RSUD bintang 5",RSUD Kota Malang,D
556,"
Dokter dan perawatnya sangat ramah dan komunikatif dalam perawatan. Lingkungan bersih dan asri. Pelayanan memuaskan.",RSUD Kota Malang,D
557,"
Mantul",RSUD Kota Malang,D
558,"
berobat ke spesialis kulit. dokternya baik, parkiran luas. ruang tunggu oke. sayangnya toilet lantai 2 belum jadi",RSUD Kota Malang,D
559,"
pelayanan vaksinasi baik, petugas ramah dan cepat",RSUD Kota Malang,D
560,"
Di ruang perawatan anak, pelayanannya bagus ada AC water heater ruang bermain mini. Perawat, dokter, dan petugas lainnya juga ramahÂ² semua. The best pokoknya ðŸ¤—",RSUD Kota Malang,D
561,"
RSUD Kota Malang, tingkatkan pelayanannya, Semoga tambah maju dan sukses",RSUD Kota Malang,D
562,"
Layanan vaksinasi baik ðŸ‘ðŸ»",RSUD Kota Malang,D
563,"
Pelayanan poli gigi sangat baik, saya beberapa kali perawatan saluran akar gigi sudah tidak pernah sakit gigi lagi.
Mungkin memang perlu mengantri, saya maklum karena memang butuh ketelitian dalam penanganan sebagaimana di klinik swasta yg lainnya sebelum berobat di rsud kota malang",RSUD Kota Malang,D
564,"
Rumah Sakit milik pemerintah kota Malang. Pelayanan yang ramah, perlu dipertahankan dan ditingkatkan. Kondisi ruangan yang bersih. Dokternya masih muda. Perawatnya menawan.",RSUD Kota Malang,D
565,"
RS bersih...nyaman....",RSUD Kota Malang,D
566,"
Pelayanannya ramah, bagus, tapi masih perlu ditingkatkan lagii",RSUD Kota Malang,D
567,"
Karu hcunya kerennn",RSUD Kota Malang,D
568,"
Pelayanan cepat, biaya terjangkau",RSUD Kota Malang,D
569,"
Pelayanan administrasi pendaftaran sangat lama",RSUD Kota Malang,TD
570,"
Petugas ramah, namun pelayanan parkir kurang sesuai standart tanpa ada karcis resmi",RSUD Kota Malang,TD
571,"
Salah satu Rumah Sakit di daerah Kedungkandang",RSUD Kota Malang,N
572,"
parkiran luas,pelayanan memuaskan",RSUD Kota Malang,D
573,"
Penanganan cepat",RSUD Kota Malang,D
574,"
Tempat ini mengadakan pelatihan relawan wabah",RSUD Kota Malang,N
575,"
Hanya bisa bayar cash saja padahal selama pandemi disarankan transaksi non cash. Kemudian saat mau keluar ke ATM sebentar untuk ambil uang ternyata dikenakan parkir Rp3000 padahal sudah bilang hanya sebentar dan akan kembali lagi. Tapi kata petugas parkirnya bayar untuk sekali parkir jadi sangat merugikan apabila perlu bolak balik ke RS karena harus bayar lagi dan lagi.",RSUD Kota Malang,TD
576,"
Semoga masjid nya segera jadi. Lapangan parkir di samping cukup luas",RSUD Kota Malang,D
577,"
maaf saya mau tanya , disini apa bisa buat surat keterangan bebas narkoba ya ?",RSUD Kota Malang,N
578,"
Layanan sudah lebih baik",RSUD Kota Malang,D
579,"
Bagus, dokternya kebanyakan masih muda",RSUD Kota Malang,D
580,"
Jau dari ky",RSUD Kota Malang,N
581,"
Ruang isolasi tanpa sekat, tidak ada televisi sehingga pasien jenuh, pintu kamar mandi tidak ada kuncinya",RSUD Kota Malang,TD
582,"
Sangat memuaskan pelayanannya, 2kali dirawat disana
Perawat dan dokternya juga ramah",RSUD Kota Malang,D
583,"
Bersih",RSUD Kota Malang,D
584,"
Moga memantu",RSUD Kota Malang,N
585,"
saya sangat bangga dengan pelayanan RSUD Kota Malang dan parkiran yang sangat luas,",RSUD Kota Malang,D
586,"
Apakah ada email kusus untuk komplain? atau nomor kusus yg bisa sy hubungi? karna sy masih menghormati anda",RSUD Kota Malang,N
587,"
terletak dipinggiran kota, udara sejuk, parkir luas, free wifi",RSUD Kota Malang,D
588,"
Bagus dan murah . . Alhamdulillah saya lekas sembuh",RSUD Kota Malang,D
589,"
UGD 24 jam plus selamat SIMRS RSUD Kota Malang yang baru di launcing",RSUD Kota Malang,D
590,"
tempat bersih.petugas ramah.untuk pelayananya lebih di tingkatkan lagi",RSUD Kota Malang,D
591,"
Poli Bedah nya mantap pelayanannya . . Alhamdulillah sembuh",RSUD Kota Malang,D
592,"
Untuk pelayanan di RSUD kota malang saat ini sudah baik , semoga ke depan jauh lebih baik lagi",RSUD Kota Malang,D
593,"
Pelayanan poli gigi dewasa baik banget, ramah",RSUD Kota Malang,D
594,"
pelayana secara umum baik, kurang beberapa bagian saja perlu diperbaiki",RSUD Kota Malang,D
595,"
Lengkap",RSUD Kota Malang,D
596,"
Petugas di rawat inap anak baik2",RSUD Kota Malang,D
597,"
berobat tak perlu khawatir biaya,inshaAllah terjangkau drpda RS yg lain. maju terus RSUD smoga pelayanannya semakin meningkat",RSUD Kota Malang,D
598,"
IGD nya pelayanannya bagus dan menyenangkan",RSUD Kota Malang,D
599,"
Ruang tunggunya nyaman",RSUD Kota Malang,N
600,"
Rsud kota malang is the best, pelayanan sangat memuaskan terutama perinatologi, perawatnya ramah, sabar dan telaten ðŸ‘",RSUD Kota Malang,N
601,"
Dekat dengan wisata batu malang",Bandara Abd. Saleh,N
602,"
Sepi,",Bandara Abd. Saleh,N
603,"
Bandara nya bersih dan banyak warung yang buka mesti pandemi.",Bandara Abd. Saleh,D
604,Tidak ada yang salah dengan itu.. kecil dan tidak besar.. dan tidak global. Ini hanya bandara lokal..,Bandara Abd. Saleh,N
605,"
Assalamualaikum mohon maaf apakah dibandara abdulrachman saleh membuka lowongan untuk sekarang ini...??ðŸ™ðŸ™",Bandara Abd. Saleh,N
606,"
penjaganya batu2 semua pilih kasih sama rakyat, lebih mementingkan pejabat",Bandara Abd. Saleh,TD
607,"
Terutama di tempat post b4t1k, hari ini keponakan saya gagal terbang, karena harus pcr. keponakan saya udh antigen di klinik rekomendasi dri b4t1k. Tidak diberi informasi kalau harus pcr oleh kliniknya. Lalu ada ajudan check in di post dan ada anak kecil yg di antigen, boleh masuk. Giliran pejabat di bolehin rakyat biasa tidak boleh terbang. tidak diganti tiketnya. malah salah2han.",Bandara Abd. Saleh,TD
608,"
Malang punya",Bandara Abd. Saleh,N
609,"
Mungkin bandara Malang adalah bandara terjelek :
1. Rambu pengarah masih minim
2. Kotor dan terkesan tidak terawat
3. Fasilitas umum juga apa adanya",Bandara Abd. Saleh,TD
610,"
Kalau baru turun pesawat, toilet harus antri panjang",Bandara Abd. Saleh,TD
611,"
Tempatnya nyaman petugas juga ramah.
Dalam segi keamanan insya Alloh amanah.",Bandara Abd. Saleh,D
612,"
Fasilitas umum agar diperbaiki dan dijaga kebersihannya",Bandara Abd. Saleh,TD
613,"
Bandaranya kecil",Bandara Abd. Saleh,N
614,"
nyaman juga,hening dan tidak bising",Bandara Abd. Saleh,D
615,"
Instalasi vms dan peduli lindungi",Bandara Abd. Saleh,N
616,"
Mantab",Bandara Abd. Saleh,D
617,"
Bandar udara nya tidak terlalu besar..
Tetapi cukup nyaman untuk menunggu penerbangan..
Mungkin kedepannya Kamar Mandi dapat ditambah juga jumlah nya
.",Bandara Abd. Saleh,D
618,"
Semoga bangkit kembali penerbangan Indonesia ðŸ˜­",Bandara Abd. Saleh,D
619,"
Mantap djiwa",Bandara Abd. Saleh,D
620,"
Ramah dan bersih",Bandara Abd. Saleh,D
621,"
Bandara paling bersahaja se-Pulau Jawa. Hihihihi",Bandara Abd. Saleh,D
622,"
Tertib karena ada background militer tapi tetap hunanis/tidak terkesan kaku...WELLDONE!!!",Bandara Abd. Saleh,D
623,"
sepi...hanya 1 penerbangan dr Jakarta, pulangnya pun hanya 1 penerbangan...ga bisa kalo mau ngejar kerjaan ðŸ˜Š",Bandara Abd. Saleh,TD
624,"
Bandara Malang",Bandara Abd. Saleh,N
625,"
Sepiiiii...... hanya ada 2X penerbangan citilink dan batik air ....... warung tak semua buka apalagi penjual oleh2 tak ada",Bandara Abd. Saleh,TD
626,"
Jauh",Bandara Abd. Saleh,N
627,"
Sip",Bandara Abd. Saleh,D
628,"
Kecil kecil cabe rawit, kereeen.",Bandara Abd. Saleh,D
629,"
tempat yang rapi",Bandara Abd. Saleh,D
630,"
Usul perbaikan kecil: 1) Mohon petugas scan covid 19 tidak terlambat. 2) Usul agar ada kotak almari minum aqua dst yang bisa dibeli dg koin maupun uang kertas baik di ruang tunggu lantai 2 maupun lantai 1 saat check in. Terasa akan nyaman bila ada itu. Hal hal lain sudah bagus dan bersih. Terimakasih.",Bandara Abd. Saleh,TD
631,"
Saat cek validasi dibuka jam setengah 10, aku sudah berada di bandara jam 8 pagi. Kepagian, dann tak masalahh hehe. Untuk pengalaman pertamaku sendiri ke bandara, menurutku petugasnya kurang ramah krn banyak yg diam saja saat ada orang2 yg akan naik pesawat.",Bandara Abd. Saleh,TD
632,"
Bandara yg kecil namun berkesan",Bandara Abd. Saleh,D
633,"
Sepii",Bandara Abd. Saleh,TD
